enzyme_42_aln	K00449
enzyme_17_aln	K00523
enzyme_19_aln	K01046
enzyme_38_aln	K01055
enzyme_30_aln	K01066
enzyme_15_aln	K01066
enzyme_24_aln	K01066
enzyme_16_aln	K01066
enzyme_23_aln	K01066
enzyme_33_aln	K01066
enzyme_13_aln	K01286
enzyme_14_aln	K01286
enzyme_37_aln	K03381
enzyme_3_aln	K03929
enzyme_2_aln	K03929
enzyme_1_aln	K03929
enzyme_8_aln	K04099
enzyme_46_aln	K06999
enzyme_36_aln	K07017
enzyme_43_aln	K08095
enzyme_32_aln	K10216
enzyme_45_aln	K13995
enzyme_44_aln	K13995
enzyme_21_aln	K14731
enzyme_34_aln	K14731
enzyme_25_aln	K14731
enzyme_35_aln	K14731
enzyme_26_aln	K15756
enzyme_7_aln	K16319
enzyme_12_aln	K18067
enzyme_4_aln	K18068
enzyme_6_aln	K18068
enzyme_20_aln	K18069
enzyme_18_aln	K18069
enzyme_9_aln	K18074
enzyme_10_aln	K18074
enzyme_11_aln	K18074
enzyme_48_aln	K18075
enzyme_22_aln	K18076
enzyme_29_aln	K18076
enzyme_5_aln	K18251
enzyme_47_aln	K18252
enzyme_39_aln	K18255
enzyme_40_aln	K18256
enzyme_0_aln	K25227
enzyme_27_aln	No_KO_Assigned
enzyme_28_aln	No_KO_Assigned
enzyme_31_aln	No_KO_Assigned
enzyme_41_aln	No_KO_Assigned
